ref_session,target_session,feature,classifier,da,strategy,accuracy,subject,dataset,n_sessions,dist_mmd,dist_energy,dist_wasserstein,dist_mahalanobis,dist_euclidean,baseline_acc,acc_centered,uid,drift_z_mmd,drift_z_energy,drift_z_wasserstein,drift_z_mahalanobis,drift_z_euclidean,drift_z
1,1,CSP,svm_linear,none,retrain,0.6333333333333334,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.11666666666666659,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,none,train_once,0.5416666666666666,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.18333333333333335,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,sa,train_once_da,0.5583333333333333,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.16666666666666663,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,pt,train_once_da,0.6416666666666667,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.08333333333333326,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,coral,train_once_da,0.575,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.15000000000000002,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,tca,train_once_da,0.48333333333333334,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.24166666666666664,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,gfk,train_once_da,0.55,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.17499999999999993,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,rd,train_once_da,0.575,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.15000000000000002,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,art,train_once_da,0.65,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.07499999999999996,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,ot,train_once_da,0.6416666666666667,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.08333333333333326,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,mida,train_once_da,0.5,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.22499999999999998,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_radial,m3d,train_once_da,0.6,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.125,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
1,1,CSP,svm_radial,none,retrain,0.6666666666666667,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.725,-0.05833333333333324,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,logvar,lda,none,train_once,0.575,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.15833333333333344,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,sa,train_once_da,0.6083333333333333,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.1250000000000001,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,pt,train_once_da,0.625,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.10833333333333339,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,coral,train_once_da,0.5,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.2333333333333334,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,tca,train_once_da,0.49166666666666664,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.24166666666666675,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,gfk,train_once_da,0.575,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.15833333333333344,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,rd,train_once_da,0.5,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.2333333333333334,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,art,train_once_da,0.6166666666666667,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.1166666666666667,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,ot,train_once_da,0.6333333333333333,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.10000000000000009,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,mida,train_once_da,0.5,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.2333333333333334,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,lda,m3d,train_once_da,0.55,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.18333333333333335,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
1,1,logvar,lda,none,retrain,0.6583333333333333,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.7333333333333334,-0.07500000000000007,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,svm_linear,none,train_once,0.5916666666666667,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.6416666666666667,-0.050000000000000044,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,svm_linear,sa,train_once_da,0.6333333333333333,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.6416666666666667,-0.008333333333333415,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,svm_linear,pt,train_once_da,0.5916666666666667,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.6416666666666667,-0.050000000000000044,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,svm_linear,coral,train_once_da,0.5,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.6416666666666667,-0.14166666666666672,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,svm_linear,tca,train_once_da,0.475,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.6416666666666667,-0.16666666666666674,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,svm_linear,gfk,train_once_da,0.5916666666666667,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.6416666666666667,-0.050000000000000044,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
0,1,logvar,svm_linear,rd,train_once_da,0.5,1,bnci004,5,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,0.6416666666666667,-0.14166666666666672,bnci004_1,-0.4501204881613051,-0.44655686472448525,-0.7118360459120006,-0.4935567578397749,-0.5407189223614398,-0.4501204881613051
