session_k,feature,dist_mmd,dist_energy,dist_wasserstein,dist_mahalanobis,dist_euclidean,subject,dataset,n_sessions
1,CSP,0.03885767207751645,0.3065332399723338,0.40445174729407385,0.9134860916408276,1.1811256104203935,8,bnci004,5
1,logvar,0.022436949984427468,0.07136989089294785,0.0300944949641228,0.7338052854023833,0.09939491605713331,8,bnci004,5
1,TS,0.02378483249226515,9.018052359816828e-07,5.066393194619094e-12,2.985024723983846e-08,1.4564315730163845e-11,8,bnci004,5
2,CSP,0.2402769874662285,0.7558956301279198,0.8901001826254928,2.6625592167585435,1.388031653576983,8,bnci004,5
2,logvar,0.13441566955594197,0.1620528926748021,0.056374483875848945,1.8820518742827692,0.10899765803824767,8,bnci004,5
2,TS,0.12357379250878608,1.8476068714413486e-06,8.027630178849246e-12,5.8178172045038034e-08,1.5280624571559433e-11,8,bnci004,5
3,CSP,0.09153611426177855,0.44385730658891476,0.5586863151100695,1.4110018633840642,1.215163517490087,8,bnci004,5
3,logvar,0.0949407733656562,0.1340008001105664,0.05069053059196916,1.454079439457133,0.11115779004299955,8,bnci004,5
3,TS,0.08195517406265473,1.4814080027782752e-06,6.958479902444846e-12,4.226260804884708e-08,1.556677128678497e-11,8,bnci004,5
4,CSP,0.10983693826582974,0.5241655635885117,0.6915951505431752,1.7349130475423584,1.3032462706868302,8,bnci004,5
4,logvar,0.14956028336578808,0.17941278868170685,0.06502573972939552,2.2623007707352185,0.11414740438532997,8,bnci004,5
4,TS,0.17893511236420045,2.3203951367165212e-06,1.0248567114611947e-11,7.7013572138951e-08,1.6050623815516154e-11,8,bnci004,5
1,CSP,0.07392162159287263,0.3882173270654765,0.4606866882553704,1.1558997135512716,1.1303015209168994,9,bnci004,5
1,logvar,0.048719957748607934,0.07502366022998556,0.020605913056871678,1.0363942808959345,0.052814650395738204,9,bnci004,5
1,TS,0.041973207244382804,8.614208343667987e-07,3.0468982780573978e-12,2.1253325103688843e-08,7.522874283987443e-12,9,bnci004,5
2,CSP,0.6806410192474872,1.3279391303534587,1.648030353106752,3.428344131083415,1.8495926234590334,9,bnci004,5
2,logvar,0.5176870348017842,0.22790385737604268,0.05713862362153385,2.1216607068017175,0.06288708471653022,9,bnci004,5
2,TS,0.4791482838664517,2.5817143105844165e-06,7.858306508771863e-12,6.281671168509823e-08,8.504343352242869e-12,9,bnci004,5
3,CSP,0.38992009979686726,0.9273966859727076,1.0754305123083094,2.0236435311702348,1.4016884771208102,9,bnci004,5
3,logvar,0.3507785987733766,0.18569473904275113,0.04691963065290181,1.5639462065047758,0.05643297169217994,9,bnci004,5
3,TS,0.3206518393539197,2.1139831790026687e-06,6.5412842235743605e-12,5.162196813827654e-08,7.772959009625923e-12,9,bnci004,5
4,CSP,0.4541715286779493,0.9697572370087154,1.0884935966318219,2.5966306797412453,1.3826470757012306,9,bnci004,5
4,logvar,0.42200935230295855,0.20187249184911837,0.05021752315859169,1.9496850505109955,0.058023138942287576,9,bnci004,5
4,TS,0.4127343422310359,2.3701547383826502e-06,7.213356391670337e-12,5.738273587343149e-08,8.048781506454195e-12,9,bnci004,5
